,hhid,index.x,date,ccy,location,sublocation,village,survey_type,nrt,index.y,wilidlife_cost_benefits,importance,problems,wildlife_problem1,wildlife_problem2,wildlife_problem3,wildlife_problem4,wildlife_problem5,other_wildlife,problem_trend,positive_conservation1,positive_conservation2,positive_conservation3,other_positive,negative_conservation1,negative_conservation2,negative_conservation3,other_negative,population
90,lekiji001,31,19/06/15,namunyak,ngilai,ngilai central,lekiji,baseline,NRT,31,2,3,2,1,2,NA,NA,NA,NA,1,1,2,3,NA,1,2,NA,NA,NA
91,lekiji001,31,19/06/15,namunyak,ngilai,ngilai central,lekiji,baseline,NRT,31,2,3,2,1,2,NA,NA,NA,NA,1,1,2,3,NA,1,2,NA,NA,NA
92,lekiji002,163,15/11/15,meibae ,lodungokwe,sesia,kule,baseline,NRT,32,1,1,2,1,2,3,NA,NA,NA,1,2,NA,NA,NA,1,2,NA,NA,NA
93,lekiji002,32,19/06/15,namunyak,ngilai,ngilai central,lekiji,baseline,NRT,32,1,1,2,1,2,3,NA,NA,NA,1,2,NA,NA,NA,1,2,NA,NA,NA
94,lekiji002,32,19/06/15,namunyak,ngilai,ngilai central,lekiji,baseline,NRT,32,1,1,2,1,2,3,NA,NA,NA,1,2,NA,NA,NA,1,2,NA,NA,NA
95,lekiji003,33,19/06/15,namunyak,ngilai,ngilai central,lekiji,baseline,NRT,33,2,1,2,1,2,3,NA,NA,NA,1,1,2,3,NA,1,2,NA,NA,NA
96,lekiji003,33,19/06/15,namunyak,ngilai,ngilai central,lekiji,baseline,NRT,33,2,1,2,1,2,3,NA,NA,NA,1,1,2,3,NA,1,2,NA,NA,NA
97,lekiji003,164,15/11/15,meibae ,lodungokwe,sesia,kule,baseline,NRT,33,2,1,2,1,2,3,NA,NA,NA,1,1,2,3,NA,1,2,NA,NA,NA
98,lekiji004,165,15/11/15,meibae ,lodungokwe,sesia,Lembarie,baseline,NRT,34,2,2,2,1,2,3,NA,NA,NA,3,1,2,3,NA,1,2,NA,NA,NA
99,lekiji004,34,19/06/15,namunyak,ngilai,ngilai central,lekiji,baseline,NRT,34,2,2,2,1,2,3,NA,NA,NA,3,1,2,3,NA,1,2,NA,NA,NA
100,lekiji004,34,19/06/15,namunyak,ngilai,ngilai central,lekiji,baseline,NRT,34,2,2,2,1,2,3,NA,NA,NA,3,1,2,3,NA,1,2,NA,NA,NA
101,lekiji005,166,15/11/15,meibae ,lodungokwe,sesia,Lembarie,baseline,NRT,35,2,2,2,1,2,3,NA,NA,NA,1,1,2,3,NA,1,2,NA,NA,NA
102,lekiji005,35,19/06/15,namunyak,ngilai,ngilai central,lekiji,baseline,NRT,35,2,2,2,1,2,3,NA,NA,NA,1,1,2,3,NA,1,2,NA,NA,NA
103,lekiji005,35,19/06/15,namunyak,ngilai,ngilai central,lekiji,baseline,NRT,35,2,2,2,1,2,3,NA,NA,NA,1,1,2,3,NA,1,2,NA,NA,NA
