,hhid,index.x,security_status,feel_safe,conflict1,conflict2,conflict3,conflict4,conflict5,conflict6,other_conflict,conflict_rank1,conflict_rank2,conflict_rank3,index.y,date,ccy,location,sublocation,village,survey_type,nrt
149,lekiji003,33,2,2,2,4,5,NA,NA,NA,NA,NA,NA,NA,33,19/06/15,namunyak,ngilai,ngilai central,lekiji,baseline,NRT
150,lekiji003,33,2,2,2,4,5,NA,NA,NA,NA,NA,NA,NA,33,19/06/15,namunyak,ngilai,ngilai central,lekiji,baseline,NRT
151,lekiji003,33,2,2,2,4,5,NA,NA,NA,NA,NA,NA,NA,164,15/11/15,meibae ,lodungokwe,sesia,kule,baseline,NRT
152,lekiji003,33,2,2,2,4,5,NA,NA,NA,NA,NA,NA,NA,33,19/06/15,namunyak,ngilai,ngilai central,lekiji,baseline,NRT
153,lekiji003,33,2,2,2,4,5,NA,NA,NA,NA,NA,NA,NA,33,19/06/15,namunyak,ngilai,ngilai central,lekiji,baseline,NRT
154,lekiji004,165,1,2,4,6,NA,NA,NA,NA,NA,4,6,NA,165,15/11/15,meibae ,lodungokwe,sesia,Lembarie,baseline,NRT
155,lekiji004,165,1,2,4,6,NA,NA,NA,NA,NA,4,6,NA,34,19/06/15,namunyak,ngilai,ngilai central,lekiji,baseline,NRT
156,lekiji004,165,1,2,4,6,NA,NA,NA,NA,NA,4,6,NA,34,19/06/15,namunyak,ngilai,ngilai central,lekiji,baseline,NRT
157,lekiji004,34,2,2,2,4,5,NA,NA,NA,NA,NA,NA,NA,165,15/11/15,meibae ,lodungokwe,sesia,Lembarie,baseline,NRT
158,lekiji004,34,2,2,2,4,5,NA,NA,NA,NA,NA,NA,NA,34,19/06/15,namunyak,ngilai,ngilai central,lekiji,baseline,NRT
159,lekiji004,34,2,2,2,4,5,NA,NA,NA,NA,NA,NA,NA,34,19/06/15,namunyak,ngilai,ngilai central,lekiji,baseline,NRT
160,lekiji004,34,2,2,2,4,5,NA,NA,NA,NA,NA,NA,NA,165,15/11/15,meibae ,lodungokwe,sesia,Lembarie,baseline,NRT
161,lekiji004,34,2,2,2,4,5,NA,NA,NA,NA,NA,NA,NA,34,19/06/15,namunyak,ngilai,ngilai central,lekiji,baseline,NRT
162,lekiji004,34,2,2,2,4,5,NA,NA,NA,NA,NA,NA,NA,34,19/06/15,namunyak,ngilai,ngilai central,lekiji,baseline,NRT
163,lekiji005,35,3,1,2,4,5,NA,NA,NA,NA,NA,NA,NA,35,19/06/15,namunyak,ngilai,ngilai central,lekiji,baseline,NRT
164,lekiji005,35,3,1,2,4,5,NA,NA,NA,NA,NA,NA,NA,166,15/11/15,meibae ,lodungokwe,sesia,Lembarie,baseline,NRT
165,lekiji005,35,3,1,2,4,5,NA,NA,NA,NA,NA,NA,NA,35,19/06/15,namunyak,ngilai,ngilai central,lekiji,baseline,NRT
