,hhid,index.x,date,ccy,location,sublocation,village,survey_type,nrt,index.y,eat_meat,drink_milk,sick_adults,sick_children,medical_services1,medical_services2,medical_services3,medical_services4,visit,no_times,water_wet_season1,water_wet_season2,water_wet_season3,water_wet_season4,water_wet_season5,important_wet_water,important_wet_water2,important_wet_water3,water_dry_season1,water_dry_season2,water_dry_season3,water_dry_season4,water_dry_season5,important_dry_water,important_dry_water2,important_dry_water3,hours_wet_season,hours_dry_season
90,lekiji001,31,19/06/15,namunyak,ngilai,ngilai central,lekiji,baseline,NRT,162,1,2,2,2,NA,NA,NA,1,2,2,NA,NA,NA,NA,NA,8,12,NA,NA,NA,NA,NA,NA,8,NA,NA,0.17,1
91,lekiji001,162,15/11/15,meibae ,lodungokwe,sesia,kule,baseline,NRT,31,2,2,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,8,NA,NA,6,NA,NA,NA,NA,6,NA,NA,1,4
92,lekiji001,162,15/11/15,meibae ,lodungokwe,sesia,kule,baseline,NRT,162,1,2,2,2,NA,NA,NA,1,2,2,NA,NA,NA,NA,NA,8,12,NA,NA,NA,NA,NA,NA,8,NA,NA,0.17,1
93,lekiji001,31,19/06/15,namunyak,ngilai,ngilai central,lekiji,baseline,NRT,31,2,2,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,8,NA,NA,6,NA,NA,NA,NA,6,NA,NA,1,4
94,lekiji001,31,19/06/15,namunyak,ngilai,ngilai central,lekiji,baseline,NRT,162,1,2,2,2,NA,NA,NA,1,2,2,NA,NA,NA,NA,NA,8,12,NA,NA,NA,NA,NA,NA,8,NA,NA,0.17,1
95,lekiji002,32,19/06/15,namunyak,ngilai,ngilai central,lekiji,baseline,NRT,163,2,2,1,1,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,8,12,NA,NA,NA,NA,NA,NA,8,NA,NA,0.33,1
96,lekiji002,32,19/06/15,namunyak,ngilai,ngilai central,lekiji,baseline,NRT,32,2,2,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,8,NA,NA,6,NA,NA,NA,NA,6,NA,NA,1,3
97,lekiji002,163,15/11/15,meibae ,lodungokwe,sesia,kule,baseline,NRT,163,2,2,1,1,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,8,12,NA,NA,NA,NA,NA,NA,8,NA,NA,0.33,1
98,lekiji002,163,15/11/15,meibae ,lodungokwe,sesia,kule,baseline,NRT,32,2,2,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,8,NA,NA,6,NA,NA,NA,NA,6,NA,NA,1,3
99,lekiji002,32,19/06/15,namunyak,ngilai,ngilai central,lekiji,baseline,NRT,163,2,2,1,1,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,8,12,NA,NA,NA,NA,NA,NA,8,NA,NA,0.33,1
